Mal_id,Title,Title English,Title Japanese,Type,Source,Episodes,Status,Airing,Aired From,Aired To,Score,Rank,Popularity,Members,Favorites,Synopsis,Studios,Genres,Themes
33909,Marine Dreamin',,Marine Dreamin',Music,Game,1.0,Finished Airing,False,2015-04-24,,5.33,,15015,800,0,"A music video for the song ""Marine Dreamin'"", a part of the iMarine project which stars Umi Monogatari's Marin.",,,Music
33910,Marine Bloomin',,Marine Bloomin',Music,Game,1.0,Finished Airing,False,2016-03-24,,5.41,,14873,831,0,"A music video for the song ""Marine Bloomin'"", a part of the iMarine project which stars Umi Monogatari's Marin.",,,Music
33911,Gakuen Handsome: Legend of Sexy,,【学園ハンサム】Legend of Sexy,Music,Game,2.0,Finished Airing,False,2016-02-04,,5.96,,12365,1696,4,"Two music videos for the songs ""Legend of Sexy"" and ""Kagami no Naka no ME"", sung by Sakuya Mitsurugi from the Gakuen Handsome franchise.",Team YokkyuFuman,Comedy,Music
33912,Gakuen Handsome: Haitoku no Lesson,,【学園ハンサム】背徳のLesson,Music,Game,2.0,Finished Airing,False,2016-05-10,,5.48,,13052,1373,1,"Two music videos for the songs ""Shuumatsu no Mellow Dance"" and ""Haitoku no Lesson,"" sung by Teruhiko Saionji from the Gakuen Handsome franchise.",Team YokkyuFuman,Comedy,Music
33913,Peeban,,ピーバン,OVA,Original,6.0,Finished Airing,False,2010-04-22,,,18444.0,20779,237,0,The episodes follow a pig named Peeban and his friends.,GARDEN LODGE,Comedy,
33914,Nineko Gelée,Runnin' Away Gelée,逃猫ジュレ,ONA,Original,1.0,Finished Airing,False,2016-10-25,,5.14,12996.0,14627,896,2,"An animation staring Gelée, an anthropomorphic cat character created by DLE.",DLE,"Avant Garde, Fantasy, Horror",Music
33915,Kitty-chan wo Sagase! Toyama-shi Stamp Rally,Toyama City Stamp Rally: The Search for Hello Kitty!,キティちゃんを探せ！富山市スタンプラリー,ONA,Other,1.0,Finished Airing,False,2016-07-20,,5.21,12868.0,15882,635,0,Kitty-chan briefly goes missing.,DLE,Comedy,
33916,Wanwanwan Coin,,わんわんわんコイン,ONA,Original,15.0,Finished Airing,False,2015-11-30,2016-06-20,,15180.0,20665,244,0,"A ""vertical"" anime starring a coin with doglike properties.",DLE,Comedy,
33922,"Taka no Tsumedan, Toyama",,鷹の爪団、富山,ONA,Original,9.0,Finished Airing,False,2016-04-06,2023-03-27,,14643.0,17075,489,1,A crossover of Kaette Kite yoo Toyama kara with Himitsukessha Taka no Tsume as they explore more of Toyama city.,DLE,Comedy,
33925,Hua Jianghu: Bu Liang Ren II,,画江湖之不良人II,ONA,Original,40.0,Finished Airing,False,2016-07-21,2017-04-20,6.38,7818.0,13438,1233,1,The continuation of Hua Jianghu: Bu Liang Ren.,Rocen,"Adventure, Drama, Romance","Historical, Martial Arts"
33926,Quanzhi Gaoshou,The King's Avatar,全职高手,ONA,Web novel,12.0,Finished Airing,False,2017-04-07,2017-06-16,7.86,915.0,658,380849,3995,"Widely regarded as a trailblazer and top-tier professional player in the online multiplayer game Glory, Ye Xiu is dubbed the ""Battle God"" for his skills and contributions to the game over the years. However, when forced to retire from the team and to leave his gaming career behind, he finds work at a nearby internet café. There, when Glory launches its tenth server, he throws himself into the game once more using a new character named ""Lord Grim.""

Ye Xiu's early achievements on the new server immediately catch the attention of many players, as well as the big guilds, leaving them to wonder about the identity of this exceptional player. However, while he possesses ten years of experience and in-depth knowledge, starting afresh with neither sponsors nor a team in a game that has changed over the years presents numerous challenges. Along with talented new comrades, Ye Xiu once again dedicates himself to traversing the path to Glory's summit!

[Written by MAL Rewrite]",B.CMAY PICTURES,Action,Video Game
33927,Yans! Gans! Meat or Die Episode 0,Meat or Die - Meat 00: Prototype,ヤンス！ガンス！00 MEAT OR DIE,Special,Original,1.0,Finished Airing,False,2008-11-29,,4.89,13305.0,18789,353,0,"A self-described episode 0 of Meat or Die. This acts as a pilot for the show, drawn in simple 2D animation.",,"Adventure, Comedy",
33929,Boku no Hero Academia: Sukue! Kyuujo Kunren!,My Hero Academia: Rescue! Rescue Training,僕のヒーローアカデミア救え!救助訓練!,OVA,Manga,1.0,Finished Airing,False,2017-04-04,,7.22,3251.0,1365,187388,162,"UA High School must regain the public's confidence after the surprise villain attack during class 1-A's training session. Although some of the teachers were gravely injured in the attack, Izuku ""Deku"" Midoriya and his classmates must continue to learn and train, and utilize their quirks in varying environments and circumstances. 

Boku no Hero Academia: Sukue! Kyuujo Kunren! follows class 1-A as they attempt to finally complete their training. However, there's a masked figure roaming around the training center. Have the villains responsible for the previous incident returned to finish the job? If so, are the students ready to fight back?

[Written by MAL Rewrite]",Bones,Action,"School, Super Power"
33933,Yasamura Yasashi no Yasashii Sekai,,やさ村やさしのやさしい世界,TV,Original,33.0,Finished Airing,False,2016-09-02,2018-09-30,,15929.0,13561,1196,0,"The series follows a mysterious but gentle-hearted man named Yasashi Yasamura who spreads warmth and human kindness wherever he goes.

(Source: Crunchyroll)",DLE,Comedy,
